student	mail	comments
Example Stud6	example6@fu-berlin.de	
Example Stud17	example17@fu-berlin.de	
Example Stud4	example4@fu-berlin.de	
Example Stud3	example3@fu-berlin.de	
Example Stud7	example7@fu-berlin.de	
Example Stud13	example13@fu-berlin.de	
Example Stud11	example11@fu-berlin.de	
Example Stud1	example1@campus.tu-berlin.de	I'm a TU student.
Example Stud10	example10@fu-berlin.de	
Example Stud16	example16@fu-berlin.de	
Example Stud15	example15@fu-berlin.de	
Example Stud12	example12@fu-berlin.de	Prüfung in Allgemeine Psychologie noch nicht bestanden.
Example Stud14	example14@fu-berlin.de	
Example Stud9	example9@fu-berlin.de	
